FECHA,TIPO DE MOVIMIENTO,PROYECTO,DESCRIPCION,CATEGORIA/DETALLE,DETALLE,IMPORTE CONTABLE,CUENTA JUAN CARLOS,PAYO SANTIAGO,BANCOLOMBIA,HOTMART JSD,PAYO JSD,PAYO FRAN,JERWIN PERÚ,BINANCE,
12 de febrero de 2024,,GERSSON L1,Pago a Jorge Diseñador,Servicios Profesionales,Jorge Diseñador,,,,,,,,,-$ 180.0,
12 de febrero de 2024,,NATASHA,Pago a Angelica Envios,Servicios Profesionales,Angelica Envios,,,,,,,,,-$ 167.5,
12 de febrero de 2024,,NATASHA,Pago a Jorge Diseñador,Servicios Profesionales,Jorge Diseñador,,,,,,,,,-$ 180.0,
13 de febrero de 2024,,GERSSON L1,Pago de suscripción MailerLite,Suscripciones,MailerLite,,,,,,-$ 230.0,,,,
14 de febrero de 2024,,AGENCIA X,Pago de suscripción ChatGPT,Suscripciones,ChatGPT,,,,,,-$ 20.0,,,,
14 de febrero de 2024,,GERSSON L1,Pago de suscripción StreamYard,Suscripciones,StreamYard,,,,,,-$ 99.0,,,,
15 de febrero de 2024,,GERSSON L1,Pago de software Leadtracker,Software,Leadtracker,,,,,,-$ 178.2,,,,
16 de febrero de 2024,,GERSSON L1,Gasto en publicidad Facebook Ads,Marketing,Facebook Ads,,,,,,-$ 252.4,,,,
19 de febrero de 2024,,FRANK SERAPION,Ingreso por ventas en Hotmart,Ingresos por Proyecto,Hotmart,,,,,," $ 2,404.0 ",,,,
19 de febrero de 2024,,GERSSON L1,Pago de servicio de hosting Hostinger,Servicios de Hosting,Hostinger,,,,,,-$ 3.4,,,,
23 de febrero de 2024,,NATASHA,Pago por servicios de video,Servicios Profesionales,Pago Video Maker,,,,,,-$ 150.0,,,,
2 de marzo de 2024,,AGENCIA X,Pago de curso,Educación,Cursos,,,,,,,,,-$ 300.0,
3 de marzo de 2024,,AGENCIA X,Pago de servicio de hosting Hostinger,Servicios de Hosting,Hostinger,,,,,,-$ 21.0,,,,
5 de marzo de 2024,,NATASHA,Ingreso por ventas en Hotmart,Ingresos por Proyecto,Hotmart,,,,," $ 5,527.0 ",,,,,
5 de marzo de 2024,,GERSSON L1,Ingreso por ventas en Hotmart,Ingresos por Proyecto,Hotmart,,,,," $ 22,861.0 ",,," $ 1,235.0 ",,
5 de marzo de 2024,,GERSSON L1,Pago de deuda por herramientas,Cuentas por Pagar,Deuda Hernan JSD,,,,,,,,," $ 1,008.0 ",
6 de marzo de 2024,,AGENCIA X,Pago de servicio de hosting Hostinger,Servicios de Hosting,Hostinger,,,,,,-$ 11.5,,,,
8 de marzo de 2024,,GERSSON L1,Corte de utilidades,Distribución de Utilidades,Corte general,"-$ 16,058.0 ",,,,,,,,,
8 de marzo de 2024,,FONDO LIBRE,Corte de utilidades,Distribución de Utilidades,Corte general," $ 16,058.0 ",,,,,,,,,
8 de marzo de 2024,,GERSSON L1,Pago de comisiones,Comisiones,Comisiones,,,,,,,,,$ 882.0,
8 de marzo de 2024,,GERSSON L1,Pago de comisiones,Comisiones,Comisiones,,,,,,,,-$ 220.0,"-$ 1,567.0 ",
11 de marzo de 2024,,NATASHA,Pago por servicios de video,Servicios Profesionales,Pago Video Maker,,,,,,-$ 150.0,,,,
11 de marzo de 2024,,GERSSON L1,Pago a Daniel Martinez,Pagos a Terceros,Soult,,,,,,-$ 963.0,,,,
11 de marzo de 2024,,NATASHA,Corte de utilidades,Distribución de Utilidades,Corte general,"-$ 4,668.0 ",,,,,,,,,
11 de marzo de 2024,,FONDO LIBRE,Corte de utilidades,Distribución de Utilidades,Corte general," $ 4,668.0 ",,,,,,,,,
11 de marzo de 2024,,NATASHA,Pago a Angelica Envios,Servicios Profesionales,Angelica Envios,,,,,,,,,-$ 105.0,
13 de marzo de 2024,,GERSSON L1,Pago a Daniel Canizo,Pagos a Terceros,Soult,,,,,,-$ 750.0,,,,
13 de marzo de 2024,,FONDO LIBRE,Reparto de utilidades a socios,Distribución de Utilidades,Corte general,,,,,,,,,"-$ 5,319.0 ",
13 de marzo de 2024,,FONDO LIBRE,Reparto de utilidades a socios,Distribución de Utilidades,Corte general,,,,,,,,"-$ 1,259.0 ","-$ 3,059.0 ",
13 de marzo de 2024,,FONDO LIBRE,Reparto de utilidades a socios,Distribución de Utilidades,Corte general,,,,,,,,,"-$ 5,319.0 ",
13 de marzo de 2024,,FONDO LIBRE,Reparto de utilidades a socios,Distribución de Utilidades,Corte general,,,,,,,,,"-$ 5,319.0 ",
18 de marzo de 2024,,AGENCIA X,Pago por servicios Adveronix,Servicios Profesionales,Adveronix,,,,,,-$ 27.3,,,,
21 de marzo de 2024,,HOTMART,Retiro de fondos de Hotmart,Retiros,Hotmart,,,,,"-$ 27,167.0 "," $ 27,167.2 ",,,,
27 de marzo de 2024,,AGENCIA X,Gasto de agencia no identificado,GASTO NO IDENTIFICADO,GASTO NO IDENTIFICADO,,,,,,-$ 31.5,,,,
28 de marzo de 2024,,AGENCIA X,Pago de servicio de hosting Hostinger,Servicios de Hosting,Hostinger,,,,,,-$ 15.4,,,,
28 de marzo de 2024,,GERSSON L2,Pago de servicio de hosting Hostinger,Servicios de Hosting,Hostinger,,,,,,-$ 21.4,,,,
28 de marzo de 2024,,GERSSON L2,Pago de suscripción StreamYard,Suscripciones,StreamYard,,,,,,-$ 25.0,,,,
31 de marzo de 2024,,AGENCIA X,Compra de micrófono,GASTO NO IDENTIFICADO,GASTO NO IDENTIFICADO,,,,,,-$ 21.0,,,,
5 de abril de 2024,,GERSSON L2,Pago de suscripción Stape,Suscripciones,Stape,,,,,,-$ 20.0,,,,
5 de abril de 2024,,GERSSON L2,Pago de suscripción MailerLite,Suscripciones,MailerLite,,,,,,-$ 57.7,,,,
6 de abril de 2024,,GERSSON L2,Pago de servicio de hosting Hostinger,Servicios de Hosting,Hostinger,,,,,,-$ 12.0,,,,
6 de abril de 2024,,GERSSON L2,Pago de suscripción MailerLite,Suscripciones,MailerLite,,,,,,-$ 12.6,,,,
6 de abril de 2024,,GERSSON L2,Pago a Lorena Videos,Nómina,Lorena Videos,,,,,,,,,-$ 211.0,
7 de abril de 2024,,GERSSON L2,Pago de suscripción MailerLite,Suscripciones,MailerLite,,,,,,-$ 31.2,,,,
7 de abril de 2024,,GERSSON L2,Pago de suscripción MailerLite,Suscripciones,MailerLite,,,,,,-$ 31.2,,,,
8 de abril de 2024,,GERSSON L2,Pago de suscripción MailerLite,Suscripciones,MailerLite,,,,,,-$ 25.0,,,,
10 de abril de 2024,,GERSSON L2,Pago de suscripción MailerLite,Suscripciones,MailerLite,,,,,,-$ 15.3,,,,
10 de abril de 2024,,GERSSON L2,Gasto en publicidad Facebook Ads,Marketing,Facebook Ads,,,,,,-$ 250.0,,,,
11 de abril de 2024,,GERSSON L2,Gasto en publicidad Facebook Ads,Marketing,Facebook Ads,,,,,,-$ 500.0,,,,
