FECHA,TIPO DE MOVIMIENTO,PROYECTO,DESCRIPCION,CATEGORIA/DETALLE,DETALLE,IMPORTE CONTABLE,CUENTA JUAN CARLOS,PAYO SANTIAGO,BANCOLOMBIA,HOTMART JSD,PAYO JSD,PAYO FRAN,JERWIN PERÚ,BINANCE,
7 de abril de 2025,SALIDA,GERSSON L7,Dominio nuevo correos,Servicios de Hosting,Namecheap,,,,,,-$ 16.0,,,,
7 de abril de 2025,SALIDA,GERSSON L7,Carga de tarjeta para ManyChat,Suscripciones,ManyChat,,,,,,-$ 15.0,,,,
8 de abril de 2025,INGRESO CONTABLE,FONDO LIBRE,Traslado de utilidades,Distribución de Utilidades,Corte general," $ 58,019.0 ",,,,,,,,,
8 de abril de 2025,SALIDA,FONDO LIBRE,Pago a Juanca,Distribución de Utilidades,Corte general,,"-$ 9,425.0 ",,,,"-$ 5,792.0 ",,,,
8 de abril de 2025,SALIDA,FONDO LIBRE,Pago a Santiago,Distribución de Utilidades,Corte general,,,,,,"-$ 15,271.0 ",,,,
8 de abril de 2025,SALIDA,FONDO LIBRE,Pago a Fran,Distribución de Utilidades,Corte general,,,,,,"-$ 14,951.0 ",,,,
8 de abril de 2025,INGRESO,GERSSON L6,Ventas L6,Ingresos por Proyecto,Hotmart,," $ 9,425.0 ",,,,,,,,
8 de abril de 2025,SALIDA CONTABLE,GERSSON L6,Traslado de utilidades,Distribución de Utilidades,Corte general,"-$ 58,019.0 ",,,,,,,,,
8 de abril de 2025,SALIDA,GERSSON L7,Carga de tarjeta para Facebook Ads,Marketing,Facebook Ads,,,,,,-$ 375.0,,,,
9 de abril de 2025,,AGENCIA X,VPS N8N agencia,Servicios de Hosting,VPS N8N,,,,,,-$ 37.8,,,,
10 de abril de 2025,SALIDA,GERSSON L7,Carga de tarjeta para Facebook Ads,Marketing,Facebook Ads,,,,,,-$ 563.0,,,,
12 de abril de 2025,,AGENCIA X,Pago para plataforma Dailys,Servicios Profesionales,Adveronix,,,,,,-$ 13.0,,,,
12 de abril de 2025,SALIDA,GERSSON L7,Carga de tarjeta para Facebook Ads,Marketing,Facebook Ads,,,,,,-$ 845.0,,,,
12 de abril de 2025,,NELLY,Carga de tarjeta para Facebook Ads,Marketing,Facebook Ads,,,,,,-$ 333.0,,,,
12 de abril de 2025,,GERSSON VENTA DIRECTA,Carga de tarjeta para Facebook Ads,Marketing,Facebook Ads,,,,,,-$ 203.7,,,,
13 de abril de 2025,,AGENCIA X,Adveronix Mayo,Servicios Profesionales,Adveronix,,,,,,-$ 59.0,,,,
13 de abril de 2025,SALIDA,GERSSON L7,VPS N8N Gersson,Servicios de Hosting,VPS,,,,,,-$ 16.6,,,,
15 de abril de 2025,SALIDA,GERSSON L7,Carga de tarjeta para Facebook Ads,Marketing,Facebook Ads,,,,,,-$ 900.0,,,,
15 de abril de 2025,SALIDA,GERSSON L7,VPS Hosting Gersson,Servicios de Hosting,VPS,,,,,,-$ 13.8,,,,
15 de abril de 2025,,GERSSON VENTA DIRECTA,Carga de tarjeta para Facebook Ads,Marketing,Facebook Ads,,,,,,-$ 368.0,,,,
16 de abril de 2025,,SANTIAGO,Carga de tarjeta para Facebook Ads,Marketing,Facebook Ads,,,,,,-$ 900.4,,,,
16 de abril de 2025,,GERSSON VENTA DIRECTA,Carga de tarjeta para Facebook Ads,Marketing,Facebook Ads,,,,,,-$ 199.9,,,,
18 de abril de 2025,,AGENCIA X,Carga de tarjeta para Facebook Ads,Marketing,Facebook Ads,,,,,,-$ 20.0,,,,
19 de abril de 2025,SALIDA,GERSSON L7,Carga de tarjeta para Cursor,Suscripciones,Cursor,,,,,,-$ 900.0,,,,
19 de abril de 2025,SALIDA,GERSSON L7,Carga de tarjeta para Facebook Ads,Marketing,Facebook Ads,,,,,,-$ 20.0,,,,
20 de abril de 2025,SALIDA,GERSSON L7,Carga de tarjeta para ChatGPT,Suscripciones,ChatGPT,,,,,,-$ 900.0,,,,
20 de abril de 2025,,GERSSON VENTA DIRECTA,Carga de tarjeta para Facebook Ads,Marketing,Facebook Ads,,,,,,-$ 644.5,,,,
20 de abril de 2025,,GERSSON VENTA DIRECTA,Carga de tarjeta para Facebook Ads,Marketing,Facebook Ads,,,,,,-$ 74.4,,,,
21 de abril de 2025,SALIDA,GERSSON L7,Carga de tarjeta para Facebook Ads,Marketing,Facebook Ads,,,,,,-$ 10.0,,,,
21 de abril de 2025,SALIDA,GERSSON L7,Carga de tarjeta para Facebook Ads,Marketing,Facebook Ads,,,,,,-$ 5.0,,,,
21 de abril de 2025,,AGENCIA X,Carga de tarjeta para OpenAI,Suscripciones,ChatGPT,,,,,,"-$ 1,492.0 ",,,,
21 de abril de 2025,,GERSSON VENTA DIRECTA,Carga de tarjeta para OpenAI,Suscripciones,ChatGPT,,,,,,-$ 145.6,,,,
21 de abril de 2025,,GERSSON VENTA DIRECTA,Pago deuda Curves Medical,Ingresos por Proyecto,Ingresos por Proyecto,,,,,,-$ 62.1,,,,
22 de abril de 2025,,AGENCIA X,Carga de tarjeta para Facebook Ads,Marketing,Facebook Ads,,,,,,"-$ 5,420.0 ",,,,
23 de abril de 2025,,SANTIAGO,Carga de tarjeta para Facebook Ads,Marketing,Facebook Ads,,,,,,-$ 591.1,,,,
23 de abril de 2025,,VCAPITAL L1,Pago de mentoría Dynamis,Educación,Cursos,,,,,,-$ 38.0,,,,
23 de abril de 2025,,AGENCIA X,GreatPages para agencia X,Software,GreatPages,,,,,,-$ 48.7,,,,
24 de abril de 2025,SALIDA,GERSSON L7,Carga de tarjeta para Facebook Ads,Marketing,Facebook Ads,,,,,,-$ 900.0,,,,
24 de abril de 2025,,SANTIAGO,Carga de tarjeta para Facebook Ads,Marketing,Facebook Ads,,,,,,-$ 283.0,,,,
24 de abril de 2025,,NELLY,Carga de tarjeta para Facebook Ads,Marketing,Facebook Ads,,,,,,-$ 43.0,,,,
24 de abril de 2025,SALIDA,GERSSON L7,Carga de tarjeta para StreamYard,Suscripciones,StreamYard,,,,,,-$ 45.0,,,,
26 de abril de 2025,,SANTIAGO,Carga de tarjeta para Facebook Ads,Marketing,Facebook Ads,,,,,,-$ 514.8,,,,
26 de abril de 2025,,NELLY,Carga de tarjeta para Facebook Ads,Marketing,Facebook Ads,,,,,,-$ 48.0,,,,
27 de abril de 2025,SALIDA,GERSSON L7,Carga de tarjeta para Facebook Ads,Marketing,Facebook Ads,,,,,,-$ 900.0,,,,
27 de abril de 2025,,NELLY,Carga de tarjeta para Facebook Ads,Marketing,Facebook Ads,,,,,,-$ 27.5,,,,
28 de abril de 2025,,NELLY,Carga de tarjeta para Facebook Ads,Marketing,Facebook Ads,,,,,,-$ 36.0,,,,
28 de abril de 2025,,NELLY,Carga de tarjeta para Facebook Ads,Marketing,Facebook Ads,,,,,,-$ 6.3,,,,
28 de abril de 2025,,NELLY,Carga de tarjeta para Facebook Ads,Marketing,Facebook Ads,,,,,,-$ 1.5,,,,
28 de abril de 2025,SALIDA,GERSSON L7,VPS para bots y puntaje,Servicios de Hosting,VPS,,,,,,-$ 19.3,,,,
30 de abril de 2025,,ADRIANA,Ventas de abril,Ingresos por Proyecto,Hotmart,," $ 1,888.0 ",,,,,,,,
30 de abril de 2025,,GERSSON L6,Ventas de abril,Ingresos por Proyecto,Hotmart,,,,," $ 1,643.0 ",,,,,
30 de abril de 2025,,GERSSON L6,Ventas de abril,Ingresos por Proyecto,Hotmart,,,,,$ 842.0,,,,,
30 de abril de 2025,,GERSSON VENTA DIRECTA,Ventas directas,Ingresos por Proyecto,Hotmart,,,,," $ 1,675.0 ",,,,,
30 de abril de 2025,SALIDA,GERSSON L7,Carga de tarjeta para Facebook Ads,Marketing,Facebook Ads,,,,,,-$ 292.2,,,,
30 de abril de 2025,,NELLY,Carga de tarjeta para Facebook Ads,Marketing,Facebook Ads,,,,,,-$ 4.1,,,,
30 de abril de 2025,SALIDA,GERSSON L7,Carga de tarjeta para Stape,Suscripciones,Stape,,,,,,-$ 50.0,,,,
30 de abril de 2025,,HOTMART,Pago recibido de Hotmart,Retiros,Hotmart,,,,,"-$ 2,740.0 "," $ 2,740.6 ",,,,
1 de mayo de 2025,,NELLY,Carga de tarjeta para Facebook Ads,Marketing,Facebook Ads,,,,,,-$ 53.0,,,,
2 de mayo de 2025,,GIORGIO L1,Carga de tarjeta para Flodesk,Suscripciones,Flodesk,,,,,,-$ 38.0,,,,
3 de mayo de 2025,,NELLY,Carga de tarjeta para Facebook Ads,Marketing,Facebook Ads,,,,,,-$ 59.0,,,,
4 de mayo de 2025,SALIDA,GERSSON L7,Carga de tarjeta para Facebook Ads,Marketing,Facebook Ads,,,,,,-$ 900.0,,,,
4 de mayo de 2025,SALIDA,GERSSON L7,Carga de tarjeta para Facebook Ads,Marketing,Facebook Ads,,,,,,-$ 900.0,,,,
4 de mayo de 2025,,AGENCIA X,VPS para plataforma de cuentas,Servicios de Hosting,VPS,,,,,,-$ 6.3,,,,
4 de mayo de 2025,SALIDA,GERSSON L7,Carga de tarjeta para ManyChat,Suscripciones,ManyChat,,,,,,-$ 50.0,,,,
5 de mayo de 2025,SALIDA,GERSSON L7,Carga de tarjeta para Facebook Ads,Marketing,Facebook Ads,,,,,,-$ 900.0,,,,
5 de mayo de 2025,SALIDA,GERSSON L7,Carga de tarjeta para ManyChat,Suscripciones,ManyChat,,,,,,-$ 50.0,,,,
6 de mayo de 2025,SALIDA,GERSSON L7,Carga de tarjeta para Facebook Ads,Marketing,Facebook Ads,,,,,,-$ 900.0,,,,
6 de mayo de 2025,SALIDA,GERSSON L7,Carga de tarjeta para Facebook Ads,Marketing,Facebook Ads,,,,,,-$ 900.0,,,,
6 de mayo de 2025,SALIDA,GERSSON L7,Carga de tarjeta para Facebook Ads,Marketing,Facebook Ads,,,,,,-$ 900.0,,,,
6 de mayo de 2025,,ARZA-UÑAS-L2,Carga de tarjeta para Flodesk,Suscripciones,Flodesk,,,,,,-$ 38.0,,,,
6 de mayo de 2025,SALIDA,GERSSON L7,VPS hosting para proyecto,Servicios de Hosting,VPS,,,,,,-$ 13.4,,,,
6 de mayo de 2025,INGRESO,GERSSON L7,Pago de préstamo Thrive,Ingresos por Proyecto,Ingresos por Proyecto,,,,,,$ 300.0,,,,
7 de mayo de 2025,SALIDA,GERSSON L7,Carga de tarjeta para Facebook Ads,Marketing,Facebook Ads,,,,,,-$ 900.0,,,,
7 de mayo de 2025,,NELLY,Carga de tarjeta para Facebook Ads,Marketing,Facebook Ads,,,,,,-$ 58.6,,,,
7 de mayo de 2025,SALIDA,GERSSON L7,Carga de tarjeta para Flodesk,Suscripciones,Flodesk,,,,,,-$ 38.0,,,,
7 de mayo de 2025,SALIDA,GERSSON L7,Carga de tarjeta para ManyChat,Suscripciones,ManyChat,,,,,,-$ 149.7,,,,
7 de mayo de 2025,SALIDA,GERSSON L7,Carga de tarjeta para ManyChat,Suscripciones,ManyChat,,,,,,-$ 50.0,,,,
8 de mayo de 2025,SALIDA,GERSSON L7,Carga de tarjeta para Facebook Ads,Marketing,Facebook Ads,,,,,,-$ 900.0,,,,
8 de mayo de 2025,,AGENCIA X,Hosting web para agencia,Servicios de Hosting,Hostinger,,,,,,-$ 13.9,,,,
8 de mayo de 2025,,AGENCIA X,Nómina de mayo,Gastos de la Agencia,Gastos de la Agencia,,,,,,"-$ 2,378.7 ",,,,
9 de mayo de 2025,SALIDA,GERSSON L7,Carga de tarjeta para Facebook Ads,Marketing,Facebook Ads,,,,,,-$ 900.0,,,,
9 de mayo de 2025,,NELLY,Carga de tarjeta para Facebook Ads,Marketing,Facebook Ads,,,,,,-$ 36.2,,,,
9 de mayo de 2025,,AGENCIA X,VPS N8N para agencia,Servicios de Hosting,VPS N8N,,,,,,-$ 57.9,,,,
10 de mayo de 2025,SALIDA,GERSSON L7,Carga de tarjeta para Facebook Ads,Marketing,Facebook Ads,,,,,,-$ 900.0,,,,
10 de mayo de 2025,,NELLY,Carga de tarjeta para Facebook Ads,Marketing,Facebook Ads,,,,,,-$ 9.1,,,,
10 de mayo de 2025,SALIDA,GERSSON L7,Carga de tarjeta para ManyChat,Suscripciones,ManyChat,,,,,,-$ 50.0,,,,
10 de mayo de 2025,,AGENCIA X,Cargos de tarjeta ASA*FLRN COMPANY LTDA,Software,GreatPages,,,,,,-$ 23.2,,,,
10 de mayo de 2025,,GERSSON VENTA DIRECTA,Cargos de tarjeta FACEBK *25HLSPCAY2,Marketing,Facebook Ads,,,,,,-$ 249.2,,,,
11 de mayo de 2025,SALIDA,GERSSON L7,Cargos de tarjeta FACEBK *63S8DQ4AY2,Marketing,Facebook Ads,,,,,,"-$ 1,200.0 ",,,,
11 de mayo de 2025,SALIDA,GERSSON L7,Cargos de tarjeta FACEBK *YVJ3SQ4QX2,Marketing,Facebook Ads,,,,,,-$ 900.0,,,,
11 de mayo de 2025,SALIDA,GERSSON L7,Cargos de tarjeta MANYCHAT.COM,Suscripciones,ManyChat,,,,,,-$ 50.0,,,,
12 de mayo de 2025,SALIDA,GERSSON L7,Cargos de tarjeta FACEBK *TPE37QU9Y2,Marketing,Facebook Ads,,,,,,"-$ 1,300.0 ",,,,
12 de mayo de 2025,SALIDA,GERSSON L7,Cargos de tarjeta FACEBK *BFXPTQ8PX2,Marketing,Facebook Ads,,,,,,-$ 900.0,,,,
12 de mayo de 2025,SALIDA,GERSSON L7,Cargos de tarjeta FACEBK *E5UAAPQPX2,Marketing,Facebook Ads,,,,,,-$ 900.0,,,,
12 de mayo de 2025,,VCAPITAL L1,Dominio business vcapital,Servicios de Hosting,Namecheap,,,,,,-$ 9.2,,,,
13 de mayo de 2025,,AGENCIA X,Cargos de tarjeta ADVERONIX LLC,Servicios Profesionales,Adveronix,,,,,,-$ 59.0,,,,
13 de mayo de 2025,,AGENCIA X,VPS N8N gersson,Servicios de Hosting,VPS N8N,,,,,,-$ 17.1,,,,
13 de mayo de 2025,SALIDA,GERSSON L7,Cargos de tarjeta MANYCHAT.COM,Suscripciones,ManyChat,,,,,,-$ 50.0,,,,
13 de mayo de 2025,SALIDA,GERSSON L7,Cargos de tarjeta MANYCHAT.COM,Suscripciones,ManyChat,,,,,,-$ 0.7,,,,
14 de mayo de 2025,,NELLY,Cargos de tarjeta FACEBK *GUDV3S8RN2,Marketing,Facebook Ads,,,,,,-$ 32.1,,,,
14 de mayo de 2025,,AGENCIA X,VPS plataforma cuentas,Servicios de Hosting,VPS,,,,,,-$ 9.2,,,,
15 de mayo de 2025,INGRESO CONTABLE,AGENCIA X,Utilidades adriana,Distribución de Utilidades,Corte general," $ 2,129.0 ",,,,,,,,,
15 de mayo de 2025,SALIDA CONTABLE,ADRIANA,Utilidades 1 abr - 15 may,GASTO NO IDENTIFICADO,GASTO NO IDENTIFICADO,"-$ 2,129.0 ",,,,,,,,,
15 de mayo de 2025,SALIDA,AGENCIA X,Nomina junio,Gastos de la Agencia,Gastos de la Agencia,,"-$ 2,129.0 ",,,,,,,,
15 de mayo de 2025,SALIDA,GERSSON L7,Cargos de tarjeta MANYCHAT.COM,Suscripciones,ManyChat,,,,,,-$ 50.0,,,,
17 de mayo de 2025,SALIDA,GERSSON L7,Cargos de tarjeta MANYCHAT.COM,Suscripciones,ManyChat,,,,,,-$ 50.0,,,,
18 de mayo de 2025,,AGENCIA X,"Cargos de tarjeta CURSOR, AI POWERED IDE",Suscripciones,Cursor,,,,,,-$ 20.0,,,,
18 de mayo de 2025,SALIDA,GERSSON L7,Cargos de tarjeta MANYCHAT.COM,Suscripciones,ManyChat,,,,,,-$ 50.0,,,,
19 de mayo de 2025,,AGENCIA X,Cargos de tarjeta OPENAI *CHATGPT SUBSCR,Suscripciones,ChatGPT,,,,,,-$ 20.0,,,,
19 de mayo de 2025,SALIDA,GERSSON L7,Cargos de tarjeta MANYCHAT.COM,Suscripciones,ManyChat,,,,,,-$ 50.0,,,,
20 de mayo de 2025,SALIDA,GERSSON L7,Cargos de tarjeta MANYCHAT.COM,Suscripciones,ManyChat,,,,,,-$ 50.0,,,,
20 de mayo de 2025,SALIDA,GERSSON L7,Cargos de tarjeta MANYCHAT.COM,Suscripciones,ManyChat,,,,,,-$ 15.0,,,,
20 de mayo de 2025,SALIDA,GERSSON L7,Cargos de tarjeta MANYCHAT.COM,Suscripciones,ManyChat,,,,,,-$ 10.0,,,,
20 de mayo de 2025,,AGENCIA X,Pago a BANCOLOMBIA (1854),Gastos de la Agencia,Gastos de la Agencia,,,,,,-$ 510.2,,,,
21 de mayo de 2025,,HOTMART,Pago de Hotmart,Retiros,Hotmart,,,,,"-$ 2,541.7 "," $ 2,541.7 ",,,,
21 de mayo de 2025,SALIDA,GERSSON L7,Cargos de tarjeta MANYCHAT.COM,Suscripciones,ManyChat,,,,,,-$ 50.0,,,,
25 de mayo de 2025,,AGENCIA X,Cargos de tarjeta BOLT (BY STACKBLITZ),Software,Bolt,,,,,,-$ 20.0,,,,
25 de mayo de 2025,,VCAPITAL L1,Cargos de tarjeta FLODESK.COM,Suscripciones,Flodesk,,,,,,-$ 38.0,,,,
25 de mayo de 2025,,AGENCIA X,Cargos de tarjeta GREATAPPS,Software,GreatPages,,,,,,-$ 49.7,,,,
25 de mayo de 2025,SALIDA,GERSSON L7,Cargos de tarjeta MANYCHAT.COM,Suscripciones,ManyChat,,,,,,-$ 50.0,,,,
25 de mayo de 2025,SALIDA,GERSSON L7,Cargos de tarjeta STREAMYARD.COM,Suscripciones,StreamYard,,,,,,-$ 45.0,,,,
26 de mayo de 2025,,AGENCIA X,Dominio automscc,Servicios de Hosting,Namecheap,,,,,,-$ 2.4,,,,
26 de mayo de 2025,,AGENCIA X,"Cargos de tarjeta STAPE, INC.",Suscripciones,Stape,,,,,,-$ 20.0,,,,
26 de mayo de 2025,SALIDA,GERSSON L7,Cargos de tarjeta SUPABASE,Software,Supabase,,,,,,-$ 25.0,,,,
27 de mayo de 2025,SALIDA,GERSSON L7,Cargos de tarjeta MANYCHAT.COM,Suscripciones,ManyChat,,,,,,-$ 500.0,,,,
27 de mayo de 2025,SALIDA,GERSSON L7,Cargos de tarjeta MANYCHAT.COM,Suscripciones,ManyChat,,,,,,-$ 100.0,,,,
27 de mayo de 2025,SALIDA,GERSSON L7,Cargos de tarjeta MANYCHAT.COM,Suscripciones,ManyChat,,,,,,-$ 50.0,,,,
27 de mayo de 2025,SALIDA,GERSSON L7,Cargos de tarjeta STREAMYARD.COM,Suscripciones,StreamYard,,,,,,-$ 39.7,,,,
28 de mayo de 2025,SALIDA,GERSSON L7,VPS bots + api puntaje,Software,EASYPANEL,,,,,,-$ 19.9,,,,
28 de mayo de 2025,SALIDA,GERSSON L7,Cargos de tarjeta MANYCHAT.COM,Suscripciones,ManyChat,,,,,,-$ 100.0,,,,
28 de mayo de 2025,SALIDA,GERSSON L7,Cargos de tarjeta MANYCHAT.COM,Suscripciones,ManyChat,,,,,,-$ 100.0,,,,
28 de mayo de 2025,SALIDA,GERSSON L7,Cargos de tarjeta MANYCHAT.COM,Suscripciones,ManyChat,,,,,,-$ 100.0,,,,
28 de mayo de 2025,SALIDA,GERSSON L7,Cargos de tarjeta MANYCHAT.COM,Suscripciones,ManyChat,,,,,,-$ 100.0,,,,
28 de mayo de 2025,SALIDA,GERSSON L7,Cargos de tarjeta MANYCHAT.COM,Suscripciones,ManyChat,,,,,,-$ 100.0,,,,
28 de mayo de 2025,SALIDA,GERSSON L7,Cargos de tarjeta MANYCHAT.COM,Suscripciones,ManyChat,,,,,,-$ 100.0,,,,
29 de mayo de 2025,SALIDA,GERSSON L7,Cargos de tarjeta DEVZAPP LTDA,Software,Devzapp,,,,,,-$ 27.0,,,,
29 de mayo de 2025,SALIDA,GERSSON L7,Cargo de tarjeta ManyChat,Suscripciones,ManyChat,,,,,,-$ 100.0,,,,
29 de mayo de 2025,SALIDA,GERSSON L7,Cargo de tarjeta ManyChat,Suscripciones,ManyChat,,,,,,-$ 100.0,,,,
29 de mayo de 2025,SALIDA,GERSSON L7,Cargo de tarjeta ManyChat,Suscripciones,ManyChat,,,,,,-$ 100.0,,,,
29 de mayo de 2025,SALIDA,GERSSON L7,Cargo de tarjeta ManyChat,Suscripciones,ManyChat,,,,,,-$ 100.0,,,,
29 de mayo de 2025,SALIDA,GERSSON L7,Cargo de tarjeta ManyChat,Suscripciones,ManyChat,,,,,,-$ 100.0,,,,
29 de mayo de 2025,SALIDA,GERSSON L7,Cargo de tarjeta ManyChat,Suscripciones,ManyChat,,,,,,-$ 100.0,,,,
29 de mayo de 2025,SALIDA,GERSSON L7,Cargo de tarjeta ManyChat,Suscripciones,ManyChat,,,,,,-$ 100.0,,,,
29 de mayo de 2025,SALIDA,GERSSON L7,Cargo de tarjeta ManyChat,Suscripciones,ManyChat,,,,,,-$ 100.0,,,,
29 de mayo de 2025,SALIDA,GERSSON L7,Cargo de tarjeta ManyChat,Suscripciones,ManyChat,,,,,,-$ 100.0,,,,
29 de mayo de 2025,SALIDA,GERSSON L7,Cargo de tarjeta Paypro,GASTO NO IDENTIFICADO,GASTO NO IDENTIFICADO,,,,,,-$ 44.6,,,,
30 de mayo de 2025,,ADRIANA,Ventas Mayo,Ingresos por Proyecto,Hotmart,," $ 1,822.0 ",,,,,,,,
31 de mayo de 2025,,GERSSON L6,Ventas Master Mayo,Ingresos por Proyecto,Hotmart,,,,," $ 3,157.0 ",,,,,
31 de mayo de 2025,SALIDA,GERSSON L7,Cargo de tarjeta ManyChat,Suscripciones,ManyChat,,,,,,-$ 10.0,,,,
31 de mayo de 2025,,AGENCIA X,Cargo de tarjeta Stape,Suscripciones,Stape,,,,,,-$ 50.0,,,,
31 de mayo de 2025,,GERSSON L7,Ventas Mayo,Ingresos por Proyecto,Hotmart,,,,," $ 44,828.0 ",,,,,
31 de mayo de 2025,,GIORGIO L1,Ventas,Ingresos por Proyecto,Hotmart,,,,,$ 428.0,,,,,
2 de junio de 2025,,AGENCIA X,Dominio Automscc,Servicios de Hosting,Namecheap,,,,,,-$ 2.5,,,,
3 de junio de 2025,,AGENCIA X,VPS Plataforma Cuentas,Servicios de Hosting,VPS,,,,,,-$ 12.7,,,,
4 de junio de 2025,,GIORGIO L1,Plataforma Correos,Suscripciones,MailerLite,,,,,,-$ 38.0,,,,
5 de junio de 2025,,AGENCIA X,IA Asistente Código Plataformas,Software,Cursor,,,,,,-$ 5.5,,,,
6 de junio de 2025,,INFOPRODUCTOS X,Cargo de tarjeta Facebook,Marketing,Facebook Ads,,,,,,-$ 60.0,,,,
6 de junio de 2025,,INFOPRODUCTOS X,Cargo de tarjeta Facebook,Marketing,Facebook Ads,,,,,,-$ 60.0,,,,
6 de junio de 2025,,ARZA-CEJAS-L2,Plataforma Correos,Suscripciones,MailerLite,,,,,,-$ 38.0,,,,
6 de junio de 2025,,AGENCIA X,Hosting Web Agencia,Servicios de Hosting,Hostinger,,,,,,-$ 13.8,,,,
7 de junio de 2025,,INFOPRODUCTOS X,Cargo de tarjeta Facebook,Marketing,Facebook Ads,,,,,,-$ 60.0,,,,
7 de junio de 2025,,INFOPRODUCTOS X,Cargo de tarjeta Facebook,Marketing,Facebook Ads,,,,,,-$ 60.0,,,,
7 de junio de 2025,,INFOPRODUCTOS X,Cargo de tarjeta Facebook,Marketing,Facebook Ads,,,,,,-$ 60.0,,,,
7 de junio de 2025,,INFOPRODUCTOS X,Cargo de tarjeta Facebook,Marketing,Facebook Ads,,,,,,-$ 60.0,,,,
7 de junio de 2025,,INFOPRODUCTOS X,Cargo de tarjeta Facebook,Marketing,Facebook Ads,,,,,,-$ 60.0,,,,
7 de junio de 2025,,INFOPRODUCTOS X,Cargo de tarjeta Facebook,Marketing,Facebook Ads,,,,,,-$ 60.0,,,,
7 de junio de 2025,,INFOPRODUCTOS X,Cargo de tarjeta Facebook,Marketing,Facebook Ads,,,,,,-$ 60.0,,,,
7 de junio de 2025,,INFOPRODUCTOS X,Cargo de tarjeta Facebook,Marketing,Facebook Ads,,,,,,-$ 60.0,,,,
7 de junio de 2025,,INFOPRODUCTOS X,Cargo de tarjeta Facebook,Marketing,Facebook Ads,,,,,,-$ 60.0,,,,
7 de junio de 2025,,INFOPRODUCTOS X,Cargo de tarjeta Facebook,Marketing,Facebook Ads,,,,,,-$ 60.0,,,,
7 de junio de 2025,,INFOPRODUCTOS X,Cargo de tarjeta Facebook,Marketing,Facebook Ads,,,,,,-$ 60.0,,,,
7 de junio de 2025,,INFOPRODUCTOS X,Plataforma Correos,Suscripciones,MailerLite,,,,,,-$ 60.0,,,,
7 de junio de 2025,SALIDA,GERSSON L7,Membresia ManyChat,Suscripciones,ManyChat,,,,,,-$ 38.0,,,,
7 de junio de 2025,SALIDA,GERSSON L7,Cargo de tarjeta Facebook,Marketing,Facebook Ads,,,,,,-$ 444.0,,,,
8 de junio de 2025,,INFOPRODUCTOS X,Cargo de tarjeta Facebook,Marketing,Facebook Ads,,,,,,-$ 60.0,,,,
8 de junio de 2025,,INFOPRODUCTOS X,Cargo de tarjeta Facebook,Marketing,Facebook Ads,,,,,,-$ 60.0,,,,
8 de junio de 2025,,INFOPRODUCTOS X,Cargo de tarjeta Facebook,Marketing,Facebook Ads,,,,,,-$ 60.0,,,,
8 de junio de 2025,,INFOPRODUCTOS X,Cargo de tarjeta Facebook,Marketing,Facebook Ads,,,,,,-$ 60.0,,,,
8 de junio de 2025,,INFOPRODUCTOS X,VPS Hosting Gersson,Servicios de Hosting,VPS,,,,,,-$ 60.0,,,,
8 de junio de 2025,,INFOPRODUCTOS X,Cargo de tarjeta Facebook,Marketing,Facebook Ads,,,,,,-$ 60.0,,,,
8 de junio de 2025,,INFOPRODUCTOS X,Cargo de tarjeta Facebook,Marketing,Facebook Ads,,,,,,-$ 60.0,,,,
8 de junio de 2025,SALIDA,GERSSON L7,Cargo de tarjeta Facebook,Marketing,Facebook Ads,,,,,,-$ 14.6,,,,
9 de junio de 2025,,INFOPRODUCTOS X,Cargo de tarjeta Facebook,Marketing,Facebook Ads,,,,,,-$ 60.0,,,,
9 de junio de 2025,,INFOPRODUCTOS X,Card charge (FACEBK *G3XZJPLW22),GASTOS PUBLICITARIOS,GASTOS PUBLICITARIOS,,,,,,-$ 60.0,,,,
9 de junio de 2025,,INFOPRODUCTOS X,Card charge (FACEBK *73XVKPLW22),GASTOS PUBLICITARIOS,GASTOS PUBLICITARIOS,,,,,,-$ 60.0,,,,
9 de junio de 2025,,INFOPRODUCTOS X,Card charge (FACEBK *V5U5LPLW22),GASTOS PUBLICITARIOS,GASTOS PUBLICITARIOS,,,,,,-$ 60.0,,,,
9 de junio de 2025,,INFOPRODUCTOS X,Carga de tarjeta para Facebook Ads,GASTOS PUBLICITARIOS,Facebook Ads,,,,,,-$ 60.0,,,,
9 de junio de 2025,,AGENCIA X,Pago de VPS para agencia,Servicios de Hosting,VPS N8N,,,,,,-$ 60.8,,,,
10 de junio de 2025,,INFOPRODUCTOS X,Carga de tarjeta para Facebook Ads,GASTOS PUBLICITARIOS,Facebook Ads,,,,,,-$ 60.0,,,,
10 de junio de 2025,,INFOPRODUCTOS X,Carga de tarjeta para Facebook Ads,GASTOS PUBLICITARIOS,Facebook Ads,,,,,,-$ 60.0,,,,
10 de junio de 2025,,AGENCIA X,Pago de plataforma de espionaje,Software,PLATAFORMA ESPIONAJE,,,,,,-$ 23.6,,,,
11 de junio de 2025,,INFOPRODUCTOS X,Carga de tarjeta para Facebook Ads,GASTOS PUBLICITARIOS,Facebook Ads,,,,,,-$ 60.0,,,,
11 de junio de 2025,,INFOPRODUCTOS X,Carga de tarjeta para Facebook Ads,GASTOS PUBLICITARIOS,Facebook Ads,,,,,,-$ 60.0,,,,
